gender,age,emotion
"{'Woman': 94.66257095336914, 'Man': 5.33742681145668}",34,fear
"{'Woman': 94.81682181358337, 'Man': 5.183180049061775}",29,sad
"{'Woman': 98.9994764328003, 'Man': 1.0005183517932892}",29,sad
"{'Woman': 98.29040169715881, 'Man': 1.7095953226089478}",34,sad
"{'Woman': 99.1205632686615, 'Man': 0.879431702196598}",28,sad
"{'Woman': 97.9836106300354, 'Man': 2.0163899287581444}",28,sad
"{'Woman': 94.51625943183899, 'Man': 5.483740568161011}",29,sad
"{'Woman': 98.51691722869873, 'Man': 1.4830862171947956}",28,neutral
"{'Woman': 98.13388586044312, 'Man': 1.8661143258213997}",26,sad
"{'Woman': 99.08108711242676, 'Man': 0.9189178235828876}",28,sad
"{'Woman': 96.54259085655212, 'Man': 3.4574080258607864}",27,neutral
"{'Woman': 99.27362203598022, 'Man': 0.7263788487762213}",26,fear
"{'Woman': 98.33178520202637, 'Man': 1.668212190270424}",30,neutral
"{'Woman': 95.48534154891968, 'Man': 4.514656588435173}",30,sad
"{'Woman': 86.32431030273438, 'Man': 13.675686717033386}",29,sad
"{'Woman': 90.40101766586304, 'Man': 9.598977118730545}",27,sad
"{'Woman': 93.73716115951538, 'Man': 6.262832880020142}",28,sad
"{'Woman': 87.47184872627258, 'Man': 12.528148293495178}",28,sad
"{'Woman': 91.20884537696838, 'Man': 8.791157603263855}",33,sad
"{'Woman': 96.45646810531616, 'Man': 3.5435333847999573}",34,sad
"{'Woman': 92.49253869056702, 'Man': 7.507464289665222}",28,sad
"{'Woman': 80.19810318946838, 'Man': 19.80189085006714}",26,sad
"{'Woman': 78.5330057144165, 'Man': 21.466992795467377}",33,neutral
"{'Woman': 90.36962389945984, 'Man': 9.63037759065628}",31,sad
"{'Woman': 95.94858288764954, 'Man': 4.051418974995613}",29,sad
"{'Woman': 95.77386975288391, 'Man': 4.226129874587059}",29,sad
"{'Woman': 99.03653860092163, 'Man': 0.9634599089622498}",31,neutral
"{'Woman': 99.41300749778748, 'Man': 0.5869866348803043}",28,neutral
"{'Woman': 90.3116524219513, 'Man': 9.688343852758408}",29,neutral
"{'Woman': 96.84485197067261, 'Man': 3.155147284269333}",27,sad
"{'Woman': 96.35948538780212, 'Man': 3.6405090242624283}",30,neutral
"{'Woman': 97.0357894897461, 'Man': 2.964213490486145}",31,sad
"{'Woman': 81.778484582901, 'Man': 18.22151392698288}",31,neutral
"{'Woman': 95.65048813819885, 'Man': 4.349513724446297}",33,sad
"{'Woman': 99.98550415039062, 'Man': 0.014494957576971501}",29,neutral
"{'Woman': 99.9974250793457, 'Man': 0.002576553015387617}",29,neutral
"{'Woman': 99.99375343322754, 'Man': 0.006246513657970354}",30,neutral
"{'Woman': 99.95452761650085, 'Man': 0.04546958953142166}",29,fear
"{'Woman': 99.85248446464539, 'Man': 0.14751983107998967}",31,sad
"{'Woman': 99.97676014900208, 'Man': 0.0232461781706661}",30,neutral
"{'Woman': 99.99771118164062, 'Man': 0.0022920185074326582}",28,neutral
"{'Woman': 99.99445676803589, 'Man': 0.005548004264710471}",28,neutral
"{'Woman': 99.99428987503052, 'Man': 0.005712300480809063}",27,neutral
"{'Woman': 99.99682903289795, 'Man': 0.003169156116200611}",28,neutral
